"","Species","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","Bodymass","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Diet.5Cat","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO"
"193","Brotogeris chiriri","Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",61.6,0,0,30,30,20,20,0,0,"FruiNect",0,0,0,0,0,0,50,10,20,20
"194","Bubo lacteus","Nonpasseriformes","Strigiformes","Strigidae","Owls",2114.94,0,20,60,10,10,0,0,0,"VertFishScav",10,60,20,10,0,0,0,0,0,0
"195","Bubo virginianus","Nonpasseriformes","Strigiformes","Strigidae","Owls",1575.7,0,10,80,10,0,0,0,0,"VertFishScav",10,90,0,0,0,0,0,0,0,0
"196","Bubulcus ibis","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",365.95,0,30,70,0,0,0,0,0,"Invertebrate",60,10,10,10,0,10,0,0,0,0
"197","Bucco capensis","Nonpasseriformes","Piciformes","Bucconidae","Puffbirds",54,0,0,50,50,0,0,0,0,"VertFishScav",30,0,0,0,70,0,0,0,0,0
"198","Bucco tamatia","Nonpasseriformes","Piciformes","Bucconidae","Puffbirds",35.5,0,0,20,60,20,0,0,0,"Invertebrate",90,0,10,0,0,0,0,0,0,0
"199","Busarellus nigricollis","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",766.14,0,0,100,0,0,0,0,0,"VertFishScav",10,0,0,90,0,0,0,0,0,0
"200","Buteo brachyurus","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",496.01,0,0,0,0,0,80,20,0,"VertFishScav",0,100,0,0,0,0,0,0,0,0
"201","Buteo magnirostris","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",269,0,0,33,33,33,0,0,0,"VertFishScav",40,30,30,0,0,0,0,0,0,0
"202","Butorides striata","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",201.5,0,80,20,0,0,0,0,0,"VertFishScav",30,0,30,40,0,0,0,0,0,0
"203","Cacicus haemorrhous","Passeriformes","Passeriformes","Icteridae","New World blackbirds",83.71,0,0,0,20,60,20,0,0,"Invertebrate",60,0,0,0,0,0,20,20,0,0
"204","Cacicus solitarius","Passeriformes","Passeriformes","Icteridae","New World blackbirds",79.76,0,0,0,40,60,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"205","Cacicus uropygialis","Passeriformes","Passeriformes","Icteridae","New World blackbirds",61.17,0,0,0,20,30,50,0,0,"Invertebrate",80,0,0,0,0,0,0,20,0,0
"206","Cacomantis flabelliformis","Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",49.8,0,0,20,20,40,20,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"207","Cacomantis merulinus","Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",25.3,0,0,0,0,40,60,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"208","Cacomantis variolosus","Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",35.75,0,0,0,40,40,20,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"209","Calandrella cinerea","Passeriformes","Passeriformes","Alaudidae","Larks",23.7,0,0,100,0,0,0,0,0,"PlantSeed",40,0,0,0,0,0,0,0,60,0
"210","Calidris acuminata","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",66.08,0,20,80,0,0,0,0,0,"Invertebrate",80,0,0,0,0,0,0,0,20,0
"211","Calidris alba","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",51.71,0,0,100,0,0,0,0,0,"Invertebrate",60,0,0,10,0,10,0,0,0,20
"212","Calidris canutus","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",141.87,0,0,100,0,0,0,0,0,"Invertebrate",80,0,0,10,0,0,0,0,10,0
"213","Calidris ferruginea","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",58.08,0,50,50,0,0,0,0,0,"Invertebrate",80,0,0,0,0,0,0,0,20,0
"214","Calidris minutilla","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",22.88,0,20,80,0,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"215","Calidris ruficollis","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",26.79,0,50,50,0,0,0,0,0,"Invertebrate",60,0,0,0,0,0,0,0,40,0
"216","Calidris tenuirostris","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",192,0,0,80,20,0,0,0,0,"Omnivore",50,0,0,0,0,0,30,0,0,20
"217","Callaeas cinereus","Passeriformes","Passeriformes","Callaeatidae","Wattled crows",225.37,0,0,0,30,40,30,0,0,"Omnivore",10,0,0,0,0,0,40,10,0,40
"218","Callipepla californica","Nonpasseriformes","Galliformes","Odontophoridae","New World quails",165.7,0,0,100,0,0,0,0,0,"PlantSeed",0,0,0,0,0,0,0,0,50,50
"219","Callipepla squamata","Nonpasseriformes","Galliformes","Odontophoridae","New World quails",183.86,0,0,100,0,0,0,0,0,"PlantSeed",30,0,0,0,0,0,0,0,40,30
"220","Calliphlox amethystina","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",2.8,0,0,0,50,40,0,10,0,"FruiNect",10,0,0,0,0,0,0,90,0,0
"221","Camaroptera brachyura","Passeriformes","Passeriformes","Cisticolidae","Cisticolas and allies",9.74,0,0,40,40,20,0,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"222","Camaroptera chloronota","Passeriformes","Passeriformes","Cisticolidae","Cisticolas and allies",11.4,0,0,20,60,20,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"223","Camaroptera simplex","Passeriformes","Passeriformes","Cisticolidae","Cisticolas and allies",12.01,0,0,0,100,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"224","Camaroptera undosa","Passeriformes","Passeriformes","Cisticolidae","Cisticolas and allies",13,0,0,50,50,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"225","Campephilus magellanicus","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",324,0,0,20,30,30,20,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"226","Campephilus melanoleucos","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",256,0,0,0,0,100,0,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"227","Campephilus rubricollis","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",210.71,0,0,0,20,60,20,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
