"","Species","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","Bodymass","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Diet.5Cat","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO"
"482","Cuculus saturatus","Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",87,0,0,20,20,40,20,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"483","Cuculus solitarius","Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",76.73,0,0,50,30,20,0,0,0,"Invertebrate",80,0,10,0,0,0,10,0,0,0
"484","Culicicapa ceylonensis","Passeriformes","Passeriformes","Muscicapidae","Chats and Old World flycatchers",7.7,0,0,0,30,30,40,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"485","Culicivora caudacuta","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",8,0,0,0,100,0,0,0,0,"Invertebrate",90,0,0,0,0,0,0,0,10,0
"486","Curaeus curaeus","Passeriformes","Passeriformes","Icteridae","New World blackbirds",83.7,0,0,50,50,0,0,0,0,"Invertebrate",60,10,0,0,0,0,0,30,0,0
"487","Cyanerpes caeruleus","Passeriformes","Passeriformes","Thraupidae","Tanagers",12,0,0,10,10,20,60,0,0,"FruiNect",40,0,0,0,0,0,30,30,0,0
"488","Cyanerpes cyaneus","Passeriformes","Passeriformes","Thraupidae","Tanagers",14,0,0,0,20,40,40,0,0,"FruiNect",40,0,0,0,0,0,40,20,0,0
"489","Cyanocitta cristata","Passeriformes","Passeriformes","Corvidae","Crows and jays",88,0,0,40,20,20,20,0,0,"Omnivore",20,10,10,0,0,0,20,0,40,0
"490","Cyanocompsa brissonii","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies",27.5,0,0,50,50,0,0,0,0,"FruiNect",20,0,0,0,0,0,70,0,10,0
"491","Cyanocompsa cyanoides","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies",32.5,0,0,70,30,0,0,0,0,"FruiNect",20,0,0,0,0,0,70,0,10,0
"492","Cyanocorax cyanomelas","Passeriformes","Passeriformes","Corvidae","Crows and jays",207,0,0,20,30,40,10,0,0,"Omnivore",40,10,0,0,0,10,40,0,0,0
"493","Cyanocorax cyanopogon","Passeriformes","Passeriformes","Corvidae","Crows and jays",146,0,0,10,30,30,30,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"494","Cyanocorax melanocyaneus","Passeriformes","Passeriformes","Corvidae","Crows and jays",101,0,0,30,40,30,0,0,0,"Invertebrate",60,0,0,0,0,0,20,0,20,0
"495","Cyanocorax morio","Passeriformes","Passeriformes","Corvidae","Crows and jays",204,0,0,30,20,20,20,10,0,"Omnivore",30,10,10,0,0,0,20,30,0,0
"496","Cyanocorax yncas","Passeriformes","Passeriformes","Corvidae","Crows and jays",78.5,0,0,0,70,30,0,0,0,"Omnivore",40,10,10,0,0,0,40,0,0,0
"497","Cyanopica cyanus","Passeriformes","Passeriformes","Corvidae","Crows and jays",95.91,0,0,0,20,60,20,0,0,"Invertebrate",80,0,0,0,0,0,10,0,10,0
"498","Cyclarhis gujanensis","Passeriformes","Passeriformes","Vireonidae","Vireos and allies",28.8,0,0,0,40,40,20,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"499","Cymbilaimus lineatus","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",35.8,0,0,0,0,100,0,0,0,"Invertebrate",70,0,20,0,0,0,10,0,0,0
"500","Cymbilaimus sanctaemariae","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",28.7,0,0,0,0,100,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"501","Cyornis concretus","Passeriformes","Passeriformes","Muscicapidae","Chats and Old World flycatchers",44.82,0,0,0,50,50,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"502","Cyornis rufigastra","Passeriformes","Passeriformes","Muscicapidae","Chats and Old World flycatchers",18.3,0,0,0,100,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"503","Cyornis tickelliae","Passeriformes","Passeriformes","Muscicapidae","Chats and Old World flycatchers",16.21,0,0,0,20,80,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"504","Cyphorhinus arada","Passeriformes","Passeriformes","Troglodytidae","Wrens",20.9,0,0,50,50,0,0,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"505","Cyphorhinus phaeocephalus","Passeriformes","Passeriformes","Troglodytidae","Wrens",24.6,0,0,50,50,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"506","Cyphorhinus thoracicus","Passeriformes","Passeriformes","Troglodytidae","Wrens",31.28,0,0,100,0,0,0,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"507","Cypsiurus parvus","Nonpasseriformes","Apodiformes","Apodidae","Swifts",13.6,0,0,0,0,10,0,90,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"508","Cypsnagra hirundinacea","Passeriformes","Passeriformes","Thraupidae","Tanagers",31.4,0,0,30,50,10,0,10,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"509","Dacelo novaeguineae","Nonpasseriformes","Coraciiformes","Alcedinidae","Kingfishers",333.8,10,10,70,10,0,0,0,0,"Invertebrate",70,0,20,10,0,0,0,0,0,0
"510","Dacnis cayana","Passeriformes","Passeriformes","Thraupidae","Tanagers",13,0,0,0,0,30,60,10,0,"Omnivore",50,0,0,0,0,0,40,0,0,10
"511","Dacnis lineata","Passeriformes","Passeriformes","Thraupidae","Tanagers",11,0,0,0,0,30,70,0,0,"FruiNect",20,0,0,0,0,0,80,0,0,0
"512","Deconychura longicauda","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",23.8,0,0,0,0,80,20,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"513","Deconychura stictolaema","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",18.5,0,0,0,30,70,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"514","Delichon urbicum","Passeriformes","Passeriformes","Hirundinidae","Swallows and martins",14.5,0,0,0,0,33,33,33,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"515","Dendragapus canadensis","Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",473.65,0,0,100,0,0,0,0,0,"PlantSeed",0,0,0,0,0,0,10,0,0,90
"516","Dendrexetastes rufigula","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",69.6,0,0,0,0,50,50,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"517","Dendrocincla anabatina","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",34.21,0,0,40,40,20,0,0,0,"Invertebrate",70,0,20,0,0,0,0,0,0,10
"518","Dendrocincla fuliginosa","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",38.7,0,0,33,33,33,0,0,0,"Invertebrate",80,0,10,0,10,0,0,0,0,0
"519","Dendrocincla homochroa","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",39.43,0,0,0,10,90,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"520","Dendrocincla merula","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",49.99,0,0,40,40,20,0,0,0,"Invertebrate",90,0,10,0,0,0,0,0,0,0
"521","Dendrocincla turdina","Passeriformes","Passeriformes","Furnariidae","Ovenbirds",39,0,0,0,40,60,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"522","Dendrocincla tyrannina","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",54.9,0,0,0,10,90,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"523","Dendrocolaptes certhia","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",68.7,0,0,0,10,90,0,0,0,"Invertebrate",80,0,20,0,0,0,0,0,0,0
"524","Dendrocolaptes picumnus","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",76.6,0,0,40,40,20,0,0,0,"Invertebrate",80,0,20,0,0,0,0,0,0,0
"525","Dendrocolaptes platyrostris","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",61.7,0,0,50,50,0,0,0,0,"Invertebrate",80,0,0,0,10,0,0,0,0,10
"526","Dendrocolaptes sanctithomae","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",66.9,0,0,0,50,50,0,0,0,"Invertebrate",80,0,20,0,0,0,0,0,0,0
"527","Dendrocopos major","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",74.94,0,0,0,20,40,30,10,0,"Omnivore",50,10,0,0,0,10,0,0,30,0
"528","Dendrocopos minor","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",19.8,0,0,0,20,20,60,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"529","Dendrocopos syriacus","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",76.7,0,0,20,30,40,10,0,0,"Omnivore",50,0,0,0,0,0,20,10,20,0
"530","Dendrocygna autumnalis","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",755.3,0,50,50,0,0,0,0,0,"PlantSeed",10,0,0,0,0,0,0,0,0,90
"531","Dendroica caerulescens","Passeriformes","Passeriformes","Parulidae","New World warblers",10.14,0,0,0,40,40,20,0,0,"Invertebrate",70,0,0,0,0,0,10,10,10,0
"532","Dendroica cerulea","Passeriformes","Passeriformes","Parulidae","New World warblers",9.04,0,0,0,0,0,70,30,0,"Invertebrate",90,0,0,0,0,0,0,10,0,0
"533","Dendroica coronata","Passeriformes","Passeriformes","Parulidae","New World warblers",11.94,0,0,0,50,50,0,0,0,"Invertebrate",70,0,0,0,0,0,10,10,10,0
"534","Dendroica discolor","Passeriformes","Passeriformes","Parulidae","New World warblers",7.64,0,0,20,60,20,0,0,0,"Invertebrate",80,0,0,0,0,0,10,10,0,0
"535","Dendroica dominica","Passeriformes","Passeriformes","Parulidae","New World warblers",9.69,0,0,0,0,20,80,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"536","Dendroica fusca","Passeriformes","Passeriformes","Parulidae","New World warblers",9.74,0,0,0,0,20,60,20,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"537","Dendroica graciae","Passeriformes","Passeriformes","Parulidae","New World warblers",8.1,0,0,0,0,60,40,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"538","Dendroica magnolia","Passeriformes","Passeriformes","Parulidae","New World warblers",8.14,0,0,0,20,80,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"539","Dendroica palmarum","Passeriformes","Passeriformes","Parulidae","New World warblers",10.3,0,0,100,0,0,0,0,0,"Invertebrate",70,0,0,0,0,0,10,10,10,0
"540","Dendroica pensylvanica","Passeriformes","Passeriformes","Parulidae","New World warblers",9.29,0,0,0,20,80,0,0,0,"Invertebrate",80,0,0,0,0,0,10,0,10,0
"541","Dendroica petechia","Passeriformes","Passeriformes","Parulidae","New World warblers",10.22,0,0,0,20,80,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"542","Dendroica pinus","Passeriformes","Passeriformes","Parulidae","New World warblers",11.79,0,0,20,0,80,0,0,0,"Invertebrate",70,0,0,0,0,0,10,10,10,0
"543","Dendroica striata","Passeriformes","Passeriformes","Parulidae","New World warblers",11.84,0,0,0,0,100,0,0,0,"Invertebrate",70,0,0,0,0,0,10,10,10,0
"544","Dendroica townsendi","Passeriformes","Passeriformes","Parulidae","New World warblers",8.84,0,0,0,20,0,80,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"545","Dendroica virens","Passeriformes","Passeriformes","Parulidae","New World warblers",8.69,0,0,0,20,60,20,0,0,"Invertebrate",60,0,0,0,0,0,20,0,0,20
"546","Dendropicos fuscescens","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",26,0,0,10,40,40,10,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"547","Dendroplex kienerii","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",45,0,0,0,0,100,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"548","Dendroplex picus","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",41.34,0,0,0,20,80,0,0,0,"Invertebrate",90,0,10,0,0,0,0,0,0,0
"549","Dicaeum cruentatum","Passeriformes","Passeriformes","Dicaeidae","Flowerpeckers",5.6,0,0,0,30,40,30,0,0,"FruiNect",20,0,0,0,0,0,40,20,20,0
"550","Dicaeum trigonostigma","Passeriformes","Passeriformes","Dicaeidae","Flowerpeckers",7.1,0,0,0,30,40,30,0,0,"FruiNect",10,0,0,0,0,0,30,30,20,10
"551","Dichrozona cincta","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",16,0,0,100,0,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"552","Dicrurus adsimilis","Passeriformes","Passeriformes","Dicruridae","Drongos",40.3,0,0,20,20,20,20,20,0,"Invertebrate",70,0,0,10,0,0,0,20,0,0
"553","Dicrurus balicassius","Passeriformes","Passeriformes","Dicruridae","Drongos",72.29,0,0,0,30,30,30,10,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"554","Dicrurus bracteatus","Passeriformes","Passeriformes","Dicruridae","Drongos",85.53,0,0,10,10,30,50,0,0,"Invertebrate",60,10,10,0,0,0,10,10,0,0
"555","Dicrurus hottentottus","Passeriformes","Passeriformes","Dicruridae","Drongos",79.19,0,0,0,20,60,20,0,0,"Omnivore",50,0,10,0,0,0,0,40,0,0
"556","Dicrurus ludwigii","Passeriformes","Passeriformes","Dicruridae","Drongos",29.4,0,0,0,40,40,20,0,0,"Invertebrate",90,0,0,0,0,0,0,10,0,0
"557","Diglossa albilatera","Passeriformes","Passeriformes","Thraupidae","Tanagers",9.84,0,0,0,50,40,10,0,0,"Omnivore",40,0,0,0,0,0,0,50,0,10
"558","Diglossa baritula","Passeriformes","Passeriformes","Thraupidae","Tanagers",9.2,0,0,0,40,30,30,0,0,"Omnivore",50,0,0,0,0,0,0,50,0,0
"559","Diglossa caerulescens","Passeriformes","Passeriformes","Thraupidae","Tanagers",14.44,0,0,0,0,60,40,0,0,"Invertebrate",70,0,0,0,0,0,20,10,0,0
"560","Diglossa cyanea","Passeriformes","Passeriformes","Thraupidae","Tanagers",17.04,0,0,10,20,40,30,0,0,"Invertebrate",60,0,0,0,0,0,20,20,0,0
"561","Diglossa lafresnayii","Passeriformes","Passeriformes","Thraupidae","Tanagers",16,0,0,0,60,20,10,10,0,"Omnivore",50,0,0,0,0,0,0,50,0,0
"562","Dioptrornis fischeri","Passeriformes","Passeriformes","Muscicapidae","Chats and Old World flycatchers",23.4,0,0,100,0,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"563","Diuca diuca","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",36.8,0,0,80,20,0,0,0,0,"PlantSeed",0,0,0,0,0,0,0,0,100,0
"564","Dolichonyx oryzivorus","Passeriformes","Passeriformes","Icteridae","New World blackbirds",31.46,0,0,100,0,0,0,0,0,"Invertebrate",60,0,0,0,0,0,30,0,10,0
"565","Donacobius atricapilla","Passeriformes","Passeriformes","Mimidae","Mockingbirds and thrashers",36.8,0,0,0,50,50,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"566","Donacospiza albifrons","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",16.5,0,0,80,20,0,0,0,0,"Omnivore",40,0,0,0,0,0,20,0,30,10
"567","Doryfera johannae","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",4.81,0,0,10,10,40,40,0,0,"FruiNect",10,0,0,0,0,0,0,90,0,0
"568","Doryfera ludovicae","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",6,0,0,0,10,30,40,20,0,"FruiNect",10,0,0,0,0,0,0,90,0,0
"569","Drymophila caudata","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",11.9,0,0,0,20,80,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"570","Drymophila ferruginea","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",10.6,0,0,0,30,70,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"571","Drymophila malura","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",13,0,0,40,40,20,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"572","Drymophila ochropyga","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",10.5,0,0,40,40,20,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"573","Drymophila squamata","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",10.8,0,0,40,40,20,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"574","Drymornis bridgesii","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",92.62,0,0,100,0,0,0,0,0,"Invertebrate",90,0,0,0,0,0,0,0,0,10
"575","Dryocopus lineatus","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",183.19,0,0,20,20,60,0,0,0,"Invertebrate",80,0,0,0,0,0,10,0,10,0
"576","Dryocopus martius","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",321,0,0,40,40,20,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"577","Dryoscopus cubla","Passeriformes","Passeriformes","Malaconotidae","Helmetshrikes, bushshrikes and puffbacks",26.23,0,0,0,20,40,40,0,0,"Omnivore",50,0,20,0,0,0,20,0,0,10
"578","Dryoscopus gambensis","Passeriformes","Passeriformes","Malaconotidae","Helmetshrikes, bushshrikes and puffbacks",31.9,0,0,0,0,70,30,0,0,"Invertebrate",90,0,0,0,0,0,0,0,0,10
"579","Dubusia taeniata","Passeriformes","Passeriformes","Thraupidae","Tanagers",37,0,0,0,80,20,0,0,0,"Omnivore",30,0,0,0,0,0,40,0,30,0
"580","Ducula pinon","Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",756,0,0,0,0,20,80,0,0,"FruiNect",0,0,0,0,0,0,100,0,0,0
"581","Dumetella carolinensis","Passeriformes","Passeriformes","Mimidae","Mockingbirds and thrashers",35.3,0,0,0,80,20,0,0,0,"Invertebrate",60,0,0,0,0,0,40,0,0,0
"582","Dysithamnus mentalis","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",14.87,0,0,0,40,40,20,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"583","Dysithamnus plumbeus","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",20.5,0,0,40,40,20,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"584","Dysithamnus striaticeps","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",12,0,0,0,50,50,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"585","Egretta caerulea","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",338.61,0,100,0,0,0,0,0,0,"Invertebrate",60,0,30,10,0,0,0,0,0,0
"586","Egretta thula","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",371,0,70,30,0,0,0,0,0,"Omnivore",50,0,30,20,0,0,0,0,0,0
"587","Elaenia albiceps","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",15.5,0,0,0,0,100,0,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"588","Elaenia chiriquensis","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",15.4,0,0,0,40,60,0,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"589","Elaenia cristata","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",18.2,0,0,0,30,40,30,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"590","Elaenia flavogaster","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",24.8,0,0,0,20,40,30,10,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"591","Elaenia frantzii","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",19.6,0,0,0,20,80,0,0,0,"FruiNect",30,0,0,0,0,0,70,0,0,0
"592","Elaenia mesoleuca","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",17.6,0,0,0,20,40,40,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"593","Elaenia obscura","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",23.9,0,0,0,0,20,60,20,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"594","Elaenia pallatangae","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",17.8,0,0,0,33,33,33,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"595","Elaenia parvirostris","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",13.8,0,0,0,33,33,33,0,0,"Invertebrate",70,0,0,0,0,0,30,0,0,0
"596","Elaenia ruficeps","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",18.74,0,0,0,50,50,0,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"597","Elaenia spectabilis","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",27.3,0,0,0,0,0,100,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"598","Elminia albonotata","Passeriformes","Passeriformes","Monarchidae","Monarchs",9.2,0,0,0,40,40,20,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"599","Emberiza cabanisi","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",24.9,0,0,0,0,20,80,0,0,"PlantSeed",30,0,0,0,0,0,0,0,60,10
"600","Emberiza cia","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",23.43,0,0,100,0,0,0,0,0,"PlantSeed",20,0,0,0,0,0,0,0,80,0
"601","Emberiza cirlus","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",25.6,0,0,100,0,0,0,0,0,"PlantSeed",30,0,0,0,0,0,0,0,60,10
"602","Emberiza citrinella","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",29.7,0,0,100,0,0,0,0,0,"PlantSeed",30,0,0,0,0,0,0,0,60,10
"603","Emberiza flaviventris","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",18.24,0,0,0,0,20,80,0,0,"PlantSeed",30,0,0,0,0,0,0,0,60,10
"604","Emberiza hortulana","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",19.9,0,0,50,50,0,0,0,0,"Invertebrate",70,0,0,0,0,0,0,0,30,0
"605","Emberiza melanocephala","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",28.31,0,0,0,0,40,60,0,0,"PlantSeed",30,0,0,0,0,0,0,0,60,10
"606","Emberiza schoeniclus","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",18.4,0,0,90,10,0,0,0,0,"PlantSeed",30,0,0,0,0,0,0,0,50,20
"607","Emberiza tahapisi","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",12.98,0,0,0,0,50,50,0,0,"PlantSeed",30,0,0,0,0,0,0,0,60,10
"608","Emberizoides herbicola","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",27.55,0,0,70,30,0,0,0,0,"Omnivore",40,0,0,0,0,0,20,0,30,10
"609","Eminia lepida","Passeriformes","Passeriformes","Cisticolidae","Cisticolas and allies",20.2,0,0,0,50,50,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"610","Empidonax alnorum","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",12.7,0,0,0,0,100,0,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"611","Empidonax flavescens","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",12.5,0,0,0,10,90,0,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"612","Empidonax flaviventris","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",11.8,0,0,20,80,0,0,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"613","Empidonax fulvifrons","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",7.9,0,0,0,30,60,10,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"614","Empidonax hammondii","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",10.44,0,0,33,33,33,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"615","Empidonax minimus","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",10,0,0,0,80,20,0,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"616","Empidonax occidentalis","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",11.6,0,0,30,30,40,0,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"617","Empidonax traillii","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",13.39,0,0,0,80,20,0,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"618","Empidonax virescens","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",12.6,0,0,0,33,33,33,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"619","Empidonomus aurantioatrocristatus","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",33,0,0,0,33,33,33,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"620","Empidonomus varius","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",27.1,0,0,0,30,70,0,0,0,"Invertebrate",60,0,0,0,0,0,40,0,0,0
"621","Enicurus ruficapillus","Passeriformes","Passeriformes","Muscicapidae","Chats and Old World flycatchers",28.23,0,0,100,0,0,0,0,0,"Invertebrate",90,0,10,0,0,0,0,0,0,0
"622","Entomodestes leucotis","Passeriformes","Passeriformes","Turdidae","Thrushes",61.7,0,0,0,0,100,0,0,0,"FruiNect",20,0,0,0,0,0,60,0,20,0
"623","Entomyzon cyanotis","Passeriformes","Passeriformes","Meliphagidae","Honeyeaters",105.26,0,0,10,10,60,10,10,0,"Invertebrate",60,0,10,0,0,0,10,20,0,0
"624","Eopsaltria australis","Passeriformes","Passeriformes","Petroicidae","Australasian robins",20.15,0,0,100,0,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"625","Eopsaltria flaviventris","Passeriformes","Passeriformes","Petroicidae","Australasian robins",13,0,0,80,20,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"626","Epinecrophylla erythrura","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",11.4,0,0,0,20,80,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"627","Epinecrophylla fulviventris","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",10.4,0,0,0,10,90,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"628","Epinecrophylla haematonota","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",8.7,0,0,0,80,20,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"629","Epinecrophylla leucophthalma","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",9.4,0,0,0,80,20,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"630","Epinecrophylla ornata","Passeriformes","Passeriformes","Thamnophilidae","Antbirds",9.4,0,0,0,20,80,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
